EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Frässystem liefern und montieren;;
;- Frässystem mit 10 cm VA, Heizfläche Standardgröße mit Alu-Verbundrohr 16x2 mm;;
;;;
;Frässystem mit 10 cm VA, Heizfläche Standardgröße mit Alu-Verbundrohr 16x2 mm bis 29 m²;€ pauschal;1250
;Frässystem mit 10 cm VA, Heizfläche Standardgröße mit Alu-Verbundrohr 16x2 mm bis 49 m²;€/m²;42,6
;Frässystem mit 10 cm VA, Heizfläche Standardgröße mit Alu-Verbundrohr 16x2 mm ab 50 m²;€/m²;35
;;;
Untertitel;Baustelleneinrichtung (Frässystem);;
;Einrichtung der Baustelle;€/Einsatz;250
;;;
Untertitel;Mehrpreis Etagenzuschuss (Frässystem);;
;- gilt nicht fürs Erdgeschoss;;
;Etagenzuschuss;€ pauschal;95
;;;
Untertitel;Entsorgungspauschale (Frässystem);;
;Entsorgung Bauschutt;€ pauschal;295
;;;
Untertitel;Stromgenerator;;
;Stromgenerator;€ pauschal;250
;;;
Untertitel;Versiegelungspauschale (Frässystem);;
;Unterboden mit einem Dispersionsvorstrich grundieren, sowie Fräskanäle mit standfester Spachtelmasse vollständig schließ;;
;Versiegelungspauschale (Frässystem);€/m²;13,7
;;;
Zwischentitel;Bitte beachten Sie auch, dass auf dem versiegelten Boden eine Ausgleichsmasse für einen neuen Bodenbelag aufgebracht werden muss. Gerne machen wir Ihnen hierfür sowie für den Bodenbelag ein entsprechendes Angebot. ;;
;;;
Zwischentitel;Bitte beachten Sie ebenfalls unser Merkblatt zu den Bauseitigen Voraussetzungen mit der darin enthaltenen Checkliste hinsichtlich der Grundvoraussetzungen und der Bodenbeschaffenheit.;;
