EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung - Roth;;
Untertitel;als Tackersystem liefern und montieren;;
;- Roth System-Verbundfaltplatte (diverse Wärmeleitgruppen, siehe unten);;
;- Roth Heizrohr PERTEX S5 17 mm;;
;- Tackernadeln für Heizrohr 14-17 mm | Hausmarke;;
;- concept | Roth-Randdämmstreifen 10/160 | selbstklebend | 25 m / Rolle (4 Rollen /Sack);;
;- Klebeband extrem reißfest | 50 mm breit | Rolle = 66 m | Hausmarke;;
;- Klemmverschraubung Universal 17 mm | Roth;;
;- Kupplung PressCheck 17 mm;;
;- Winkelspangen für Heizohre 14-18 mm, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich;;
;- Dehnfugenschutzrohr zum Isolieren der Vor-/Rückläufe;;
;- Dehnfugenschutzrohr geschlitzt für Rohr bis 20 mm im Bereich der Dehnfugen | ca. 300 mm lang | Hausmarke;;
;- Estrichmessstellenmarkierung | Hausmarke;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- Montageleistung Tacker-Systemrohr (nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate;;
;;;
;Verbundplatte 20-2 mm WLG 035;€/m²;27,57
;Verbundplatte 20-2 mm WLG 040;€/m²;26,56
;Verbundplatte 30-2 mm WLG 040;€/m²;27,32
;Verbundplatte 30-3 mm WLG 045;€/m²;26,59
;;;
Zwischentitel;wir vor, jedoch mit Systemplatte Flipfix;;
;2 mm Hohlkammer-Platte;€/m²;26,17
;nur Rohr, Dämmung komplett bauseits;€/m²;17,29
;;;
Titel;Mehrpreise für Rohrvarianten;;
Untertitel;Für die Verlegung eines anderen Roth-Heizrohrs;;
;X-PERT S5+ 17 mm;€/m²;1,05
;DUOPEX S5 17 mm;€/m²;1,55
