EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;Trockenbausystem Schütz mit Systemplatte (Lieferung und Montage);;
;- Trockenbau Profilplatte 25 mm;;
;- Metallverbundrohr 14x2 VPE 200 m;;
;- Wärmeleitbleche für Rohr 14 mm;;
;- Klemmverschraubung 14 x 2,0 mm | einzeln;;
;-  Schaum-Randstreifen FSR 10/150-Comfort-Selbstklebend;;
;- Klebeband extrem reißfest;;
;- Rohrverbinder (Kupplung) 14 x 14 mm, mit 2 gleichen Presshülsen;;
;- Winkelspangen  für Heizrohre 14-18 mm, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich;;
;- Folie, als Trennlage;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- Montageleistung TRBS-Systemheizrohr (nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate);;
;;;
;25 mm Systemplatte - Trockenbausystem Schütz;€/m²;69,85
;;;
Untertitel;Trockenestrich als schwimmende Estrichkonstruktion;;
;- zur Aufnahme von Fußbodenheizungen Bauart B gemäß DIN 18560-2;;
;;;
;Einbauhöhe 25 mm - Trockenestrich;€/m²;63,35
;;;
Untertitel;Wichtiger Hinweis – Voraussetzungen für das Trockenbausystem;;
;Für die Ausführung mit dem TRBS-System ist ein ebener, tragfähiger und gereinigter Untergrund zwingend erforderlich. Nur so kann eine fach- und normgerechte Montage gewährleistet werden.;;
