EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung - Uponor;;
Untertitel;als Tackersystem liefern und montieren;;
;- Uponor Tackerrolle (diverse Wärmeleitgruppen, siehe unten);;
;- Uponor ComfortPipe Rohr PE-Xa 16x1,8 mm;;
;- Tackernadeln für Heizrohr 14-17 mm | Hausmarke;;
;- PE-Randdämmstreifen 10/150 | Comfort - selbstklebend | mit Folienlasche | 50 lfm | Hausmarke;;
;- Klebeband extrem reißfest | 50 mm breit | Rolle = 66 m | Hausmarke;;
;- Klemmverschraubung 16x2,0 mm 3/4” PEX- einzeln | Uponor;;
;- Rohrverbinder (Kupplung m.Ringen) 16x16 mm | Uponor;;
;- Winkelspangen  für Heizohre 14-18 mm, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich;;
;- Dehnfugenschutzrohr zum Isolieren der Vor-/Rückläufe;;
;- Dehnfugenschutzrohr geschlitzt für Rohr bis 20 mm im Bereich der Dehnfugen | ca. 300 mm lang | Hausmarke;;
;- Estrichmessstellenmarkierung | Hausmarke;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- Montageleistung Tacker-Systemrohr (nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate;;
;;;
;Tackerplatte 20-2 mm WLG 040;€/m²;27,67
;Tackerplatte 30-2 mm WLG 040;€/m²;28,01
;Tackerplatte 30-3 mm WLG 045;€/m²;28,01
;Tackerplatte 35-3 mm WLG 045;€/m²;27,93
;nur Rohr, Dämmung komplett bauseits;€/m²;19,32
;;;
Titel;Mehrpreise für Rohrvarianten;;
Untertitel;Für die Verlegung eines anderen Roth-Heizrohrs;;
;MLCP Red Aluverbundrohr 16x2 mm;€/m²;0,84
;Comfort Pipe Plus Xa-Rohr 17x2 mm;€/m²;2,45
