EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Allgemeine Hinweise;;
Zwischentitel;Die angegebenen Preise gelten innerhalb eines Lieferradius von bis zu 250 km ab unserem Standort Apensen.;;
Zwischentitel;Die Kalkulation basiert auf vollständiger Baufreiheit für die gesamte zu bearbeitende Fläche.;;
Zwischentitel;Die Preise wurden für Flächen ab 120 m² berechnet. Bei kleineren Flächen (unter 120 m²) kann eine zusätzliche Mindermengenpauschale anfallen.;;
;;;
Zwischentitel;Wir weisen darauf hin, dass folgende Leistungen nicht im Leistungspaket enthalten sind:;;
;- Montage der Verteiler und Schränke;;
;- Montage Klemmleiste, Stellantriebe und Raumthermostat;;
;- Spülen, Befüllen, Entlüften und Einstellen der Fußbodenheizung;;
;- Funktionsheizen, Hydraulischer Abgleich;;
;;;
;- Die angebotenen Montageleistungen gehen von einer den Toleranzen entsprechenden Untergrund aus. Dämmung und Systembahnen werden in einer Stärke montiert, Höhendifferenzen sind über den Estrich auszugleichen. Die Montage von unterschiedlichen Dämmungen und/oder Systembahnen oder sogar in einzelnen Räumen um unsachgemäßen Rohbau kostengünstig auszugleichen, schließen wir hiermit aus;;
;;;
;- Die Klemmverschraubungen am Heizkreisverteiler sind nach ca. 4 Wochen nachzuziehen, um weiterhin die Dichtheit des Systems zu gewährleisten. Diese Maßnahme ist bauseits bzw. vom Gewerk Heizung durchzuführen;;
