EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Tackersystem liefern und montieren;;
;- Tackerplatte (diverse Wärmeleitgruppen, siehe unten);;
;- Heizrohr PE-RT 17x2 mm;;
;- Tackernadeln für Heizrohr 14-17 mm;;
;- PE-Randdämmstreifen 10/150 | Comfort - selbstklebend | mit Folienlasche | 50 lfm ;;
;- Klebeband extrem reißfest | 50 mm breit | Rolle = 66 m;;
;- Klemmverschraubung 16/17x2,0 mm - einzeln;;
;- Rohrverbinder (Kupplung) 16x16/17x17 mm, mit zwei gleichen Presshülsen;;
;-  Winkelspangen für Heizohre 14-18 mm, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich;;
;- Dehnfugenschutzrohr zum Isolieren der Vor-/Rückläufe ;;
;- Dehnfugenschutzrohr geschlitzt für Rohr bis 20 mm im Bereich der Dehnfugen | ca. 300 mm lang ;;
;- Estrichnessstellenmarkierung;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate ;;
;;;
;Tackerplatte WLG045 20-2 mm;€/m²;22,55
;Tackerplatte WLG045 30-3 mm;€/m²;23,1
;Tackerplatte WLG040 30-2 mm;€/m²;23,34
;Tackerplatte WLG035 30 mm;€/m²;24,3
;;;
Zwischentitel;wir vor, jedoch mit Systemplatte Flipfix;;
;2 mm Hohlkammer-Platte;€/m²;24,36
;nur Rohr, Dämmung komplett bauseits;€/m²;15,49
;;;
Titel;Mehrpreise für Rohrvarianten;;
Untertitel;Für die Verlegung eines anderen Heizrohrs;;
;Xc-/Xa-Rohr 16/17x2 mm;€/m²;1,55
;Metall/Aluverbundrohr 16x2 mm;€/m²;1,4
