EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Dienstleistungen für alle Montagearten;;
;;;
Untertitel;Vor-Ort-Termin gewünscht (Menge 1 = ja, Menge 0 = nein);Ja(1)/Nein(0);0
;;;
Untertitel;Beratungspauschale in der Angebotsphase;;
;- ausführliche technische Betrachtung;;
;- Baustellentermin Bauleitung;;
;- ggf. Höhenprotokoll oder ggf. Probebohrung;;
;Beratungspauschale;€ pauschal;310
;;;
Untertitel;Schnellauslegung;;
;- inklusive Materialvorschlag;;
;Schnellauslegung;€/m²;0,4
;;;
Untertitel;Heizflächenauslegung (Berechnung für den Hydr. Abgleich);;
;- inklusive Verlegeplan;;
;Heizflächenauslegung;€/m²;0,6
;;;
Untertitel;Heizlastberechnung nach DIN EN 12831;;
;- inklusive Heizflächenauslegung;;
;- Berechnung für den Hydr. Abgleich;;
;Heizlastberechnung;€/m²;0,9
;;;
Untertitel;Änderung in der Berechnung im Nachgang auf Kundenwunsch;;
;Änderung in der Berechnung;€/Vorgang;93
