EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Unterdämmung Tacker- und Klettsystem;;
Untertitel;liefern und verlegen;;
;- Wärmedämmplatten, div. Stärken;;
;- Verlegung Unterdämmung EPS inkl. Trockenausgleichschüttung Vermibit;;
;- Andere Wärmeleitgruppe auf Anfrage;;
;;;
Zwischentitel;100 kPa - WLG035;;
;EPS-Platten 20 mm in WLG035 100 kPa;€/m²;5,84
;EPS-Platten 30 mm in WLG035 100 kPa;€/m²;6,69
;EPS-Platten 40 mm in WLG035 100 kPa;€/m²;7,54
;EPS-Platten 50 mm in WLG035 100 kPa;€/m²;8,39
;EPS-Platten 60 mm in WLG035 100 kPa;€/m²;9,24
;EPS-Platten 70 mm in WLG035 100 kPa;€/m²;11,74
;EPS-Platten 80 mm in WLG035 100 kPa;€/m²;12,59
;EPS-Platten 90 mm in WLG035 100 kPa;€/m²;13,44
;EPS-Platten 100 mm in WLG035 100 kPa;€/m²;14,29
