EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Vinyl-Designbelag Joka Kollektion 340 (Wohnbereich);;
Untertitel;Untergrund vorbereiten, Designbelag liefern und verlegen;;
;- Reinigungsschliff durchführen und absaugen;;
;- Estrichklammern mit Spezialharz einsetzen;;
;- Grundierung mit einem Dispersionsvoranstrich;;
;-  Reparatur Randdämmstreifen zur Vermeidung von Schall- und Wärmebrücken;;
;-  Anspachtelarbeiten zum Höhenausgleich an Bodenübergängen;;
;- zementäre Premium Nivelliermasse in einer Stärke bis 3,0mm vollflächig auftragen;;
;-  Designbelag Joka 340 2,0mm/NS 0,4mm Dryback, Dekor u. Format lt. Kollektion;;
;- Designbelagklebstoff Bostik STIX A340 LVT;;
;- Verlegung Designbelag im unregelmäßigem Verband, gerade zur Wand, vollflächig verklebt;;
;- Sockelleiste eckig Massivholz, Oberfläche weiß lackiert ca. 16x58mm / 240cm;;
;-  Weiße Acrylfuge zwischen Wand und Sockelleiste. Hinweis: Wartungsfuge;;
;- Anschnittarbeiten inkl. Einbringung einer elastischen Fuge (Hinweis: Wartungsfuge), passend zum Farbton des Bodenbelags;;
;;;
;Vinyl-Designbelag Joka Kollektion 340;€/m²;77,3
;;;
Zwischentitel;Mehrpreis für Untergrundvorbereitung;;
;;;
;Abschleifen der festen Fliesen-, Parkett- oder Teppichklebereste sowie Spachtelmasse | bis 5mm Stärke;€/m²;23,5
;Abschleifen der festen Fliesen-, Parkett- oder Teppichklebereste sowie Spachtelmasse | ab 5mm Stärke;€/m²;32,5
;;;
Zwischentitel;Mehrpreis für höheren Bodenaufbau;;
;;;
;Zementäre Premium Nivelliermasse 2 mm zusätzlich vollflächig auftragen;€/m²;11,83
;Zementäre Premium Nivelliermasse 5 mm zusätzlich vollflächig auftragen;€/m²;18,66
;Zementäre Premium Nivelliermasse 10 mm zusätzlich vollflächig auftragen;€/m²;29,52
;;;
Zwischentitel;Mehrpreis für Vinyl-Designbelag Joka Kollektion 555 (Gewerbebereich);;
;;;
;Designbelag Joka 555 2,0mm/NS 0,5mm Dryback, Dekor u. Format lt. Kollektion;€/m²;7,56
;;;
Zwischentitel;Spezialabdichtungen für Bäder;;
;;;
;Bostik Bad Abdichtung für Vinylbeläge in Bädern liefern und einbauen, inklusive Innen und Außenecken.;€ pauschal;807,9
;;;
Zwischentitel;Mehrpreis für Sonderverlegerichtung Bodenbelag;;
;;;
;Verlegung Designbelag im Fischgrad-Verband, diagonal grade zur Wand, vollflächig verklebt;€/m²;23,4
;;;
Zwischentitel;Mehrpreis für profilierte Fußleiste;;
;;;
;Sockelleiste Typ M / Hamburger Profil ca. 18 x 80 mm weiß lackiert;€/m;1,73
;Sockelleiste Typ L / Hamburger Profil ca. 18 x 93 mm weiß lackiert;€/m;2,3
;Sockelleiste Typ XL / Hamburger Profil ca. 18 x 115 mm weiß lackiert;€/m;4,26
;;;
Untertitel;ggf. können eine Baustellenpauschale (inkl. An- und Abfahrt)  und eine Müllpauschale anfallen. Wir beraten Sie gerne!;;
